"No.","Time","Source","Destination","Protocol","Length","Info"
"115","0.399625","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62803, Time=2319265554, Mark"
"116","0.414775","127.0.0.1","127.0.0.1","RTP","365","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33333, Time=535146028, Mark"
"117","0.416304","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62804, Time=2319274554"
"118","0.420494","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62805, Time=2319274554"
"119","0.424638","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62806, Time=2319274554"
"120","0.428803","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62807, Time=2319274554"
"121","0.433521","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62808, Time=2319274554"
"122","0.437142","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62809, Time=2319274554"
"123","0.438870","127.0.0.1","127.0.0.1","RTP","380","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33334, Time=535147052, Mark"
"124","0.441311","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62810, Time=2319274554"
"125","0.445475","127.0.0.1","127.0.0.1","RTP","398","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62811, Time=2319274554, Mark"
"126","0.449983","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62812, Time=2319271554"
"127","0.460755","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62813, Time=2319271554"
"128","0.461201","127.0.0.1","127.0.0.1","RTP","338","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33335, Time=535148076, Mark"
"129","0.472056","127.0.0.1","127.0.0.1","RTP","191","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62814, Time=2319271554, Mark"
"130","0.482969","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62815, Time=2319280554"
"131","0.484428","127.0.0.1","127.0.0.1","RTP","343","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33336, Time=535149100, Mark"
"132","0.487751","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62816, Time=2319280554"
"133","0.492496","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62817, Time=2319280554"
"134","0.497272","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62818, Time=2319280554"
"135","0.502020","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62819, Time=2319280554"
"136","0.506794","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62820, Time=2319280554"
"137","0.507641","127.0.0.1","127.0.0.1","RTP","360","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33337, Time=535150124, Mark"
"138","0.511546","127.0.0.1","127.0.0.1","RTP","1175","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62821, Time=2319280554, Mark"
"139","0.516283","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62822, Time=2319277554"
"140","0.527455","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62823, Time=2319277554"
"141","0.530862","127.0.0.1","127.0.0.1","RTP","346","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33338, Time=535151148, Mark"
"142","0.538803","127.0.0.1","127.0.0.1","RTP","210","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62824, Time=2319277554, Mark"
"143","0.549634","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62825, Time=2319286554"
"144","0.554102","127.0.0.1","127.0.0.1","RTP","351","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33339, Time=535152172, Mark"
"145","0.554400","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62826, Time=2319286554"
"146","0.559776","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62827, Time=2319286554"
"147","0.563924","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62828, Time=2319286554"
"148","0.568690","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62829, Time=2319286554"
"149","0.573450","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62830, Time=2319286554"
"150","0.577300","127.0.0.1","127.0.0.1","RTP","356","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33340, Time=535153196, Mark"
"151","0.578213","127.0.0.1","127.0.0.1","RTP","1317","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62831, Time=2319286554, Mark"
"152","0.582966","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62832, Time=2319283554"
"153","0.594092","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62833, Time=2319283554"
